Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BCO RODOBENS S.A.;0,40;4,85
2;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BCO DO BRASIL S.A.;0,60;7,47
3;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BANCO SEMEAR;0,75;9,38
4;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BCO LUSO BRASILEIRO S.A.;0,87;10,95
5;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BCO DAYCOVAL S.A;1,21;15,56
6;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;OXY CH;1,29;16,63
7;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BANCO BARI S.A.;1,29;16,68
8;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA;BARI CIA HIPOTECÁRIA;1,30;16,80
