data,tr
2015-08,0.001915
2015-09,0.001675
2015-10,0.0012970000000000002
2015-11,0.001527
2015-12,0.001608
2016-01,0.001015
2016-02,0.0014449999999999999
2016-03,0.0018709999999999998
2016-04,0.000958
2016-05,0.0021360000000000003
2016-06,0.0018509999999999998
2016-07,0.002245
2016-08,0.0018410000000000002
2016-09,0.0013469999999999999
2016-10,0.001885
2016-11,0.0018559999999999998
2016-12,0.001449
2017-01,0.000563
2017-02,0.000423
2017-03,0.000202
2017-04,0.000205
2017-05,0.000862
2017-06,0.0008060000000000001
2017-07,0.000301
2017-08,0.0
2017-09,0.0
2017-10,0.0
2017-11,0.0
2017-12,0.0
2018-01,0.0
2018-02,0.0
2018-03,0.0
2018-04,0.0
2018-05,0.0
2018-06,0.0
2018-07,0.0
2018-08,0.0
2018-09,0.0
2018-10,0.0
2018-11,0.0
2018-12,0.0
2019-01,0.0
2019-02,0.0
2019-03,0.0
2019-04,0.0
2019-05,0.0
2019-06,0.0
2019-07,0.0
2019-08,0.0
2019-09,0.0
2019-10,0.0
2019-11,0.0
2019-12,0.0
2020-01,0.0
2020-02,0.0
2020-03,0.0
2020-04,0.0
2020-05,0.0
2020-06,0.0
2020-07,0.0
2020-08,0.0
2020-09,0.0
2020-10,0.0
2020-11,0.0
2020-12,0.0
2021-01,0.0
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.000248
2021-12,0.000853
2022-01,0.00023099999999999998
2022-02,0.0
2022-03,0.000799
2022-04,0.001072
2022-05,0.001725
2022-06,0.002007
2022-07,0.002133
2022-08,0.002082
2022-09,0.001497
2022-10,0.001782
2022-11,0.002088
2022-12,0.001709
2023-01,0.001101
2023-02,0.0014680000000000001
2023-03,0.001093
2023-04,0.001497
2023-05,0.002075
2023-06,0.00159
2023-07,0.002144
2023-08,0.001484
2023-09,0.000504
2023-10,0.00108
2023-11,0.001017
2023-12,0.000686
2024-01,0.000388
2024-02,0.00062
2024-03,0.001023
2024-04,0.0005899999999999999
2024-05,0.000631
2024-06,0.000664
2024-07,0.0007430000000000001
2024-08,0.000675
2024-09,0.000741
2024-10,0.000689
2024-11,0.000674
2024-12,0.00169
2025-01,0.0016300000000000002
2025-02,0.0007689999999999999
2025-03,0.001708
2025-04,0.001711
2025-05,0.001699
2025-06,0.001739
2025-07,0.0017419999999999998
2025-08,0.0017419999999999998
