Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pré-fixado;CAIXA ECONOMICA FEDERAL;0,87;10,91
2;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;1,26;16,20
3;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pré-fixado;APE POUPEX;1,39;17,99
