data;ipca
07/2024;0.38
08/2024;-0.02
09/2024;0.44
10/2024;0.56
11/2024;0.39
12/2024;0.52
01/2025;0.16
02/2025;1.31
03/2025;0.56
04/2025;0.43
05/2025;0.26
06/2025;0.24
