data,ipca
2050-05,0.24
2050-06,0.24
2050-07,0.24
2050-08,0.24
2050-09,0.24
2050-10,0.24
2050-11,0.24
2050-12,0.24
2051-01,0.24
2051-02,0.24
2051-03,0.24
2051-04,0.24
2051-05,0.24
2051-06,0.24
2051-07,0.24
2051-08,0.24
2051-09,0.24
2051-10,0.24
2051-11,0.24
2051-12,0.24
2052-01,0.24
2052-02,0.24
2052-03,0.24
2052-04,0.24
2052-05,0.24
2052-06,0.24
2052-07,0.24
2052-08,0.24
2052-09,0.24
2052-10,0.24
2052-11,0.24
2052-12,0.24
2053-01,0.24
2053-02,0.24
2053-03,0.24
2053-04,0.24
2053-05,0.24
2053-06,0.24
2053-07,0.24
2053-08,0.24
2053-09,0.24
2053-10,0.24
2053-11,0.24
2053-12,0.24
2054-01,0.24
2054-02,0.24
2054-03,0.24
2054-04,0.24
2054-05,0.24
2054-06,0.24
